,region,level of education,sex,2016,2017,2018,2019,2020
0,01 Stockholm county,no information about level of educational attainment,men,228.8,220.2125,231.8,233.25,240.8375
1,01 Stockholm county,no information about level of educational attainment,women,120.025,120.725,120.35,125.125,126.9875
2,01 Stockholm county,post secondary education,men,449.225,458.82500000000005,472.8625,482.6375,494.425
3,01 Stockholm county,post secondary education,women,329.2,339.0875,347.8625,359.2125,364.40000000000003
4,01 Stockholm county,primary and lower secondary education,men,236.9625,241.21249999999998,246.275,249.825,251.4625
5,01 Stockholm county,primary and lower secondary education,women,175.575,178.325,181.4375,184.1375,184.3875
8,01 Stockholm county,upper secondary education,men,317.575,324.525,331.5375,337.7,338.8625
9,01 Stockholm county,upper secondary education,women,249.475,255.91250000000002,261.925,267.375,268.8875
10,03 Uppsala county,no information about level of educational attainment,men,154.675,165.1375,181.475,175.85,190.675
11,03 Uppsala county,no information about level of educational attainment,women,108.1125,96.575,93.0125,96.0625,96.2125
12,03 Uppsala county,post secondary education,men,379.875,388.125,399.35,403.28749999999997,410.675
13,03 Uppsala county,post secondary education,women,290.9125,299.7125,305.525,314.9625,321.9875
14,03 Uppsala county,primary and lower secondary education,men,241.0375,243.61249999999998,247.1875,253.3,253.0
15,03 Uppsala county,primary and lower secondary education,women,165.2,166.7625,167.8375,170.6,171.2125
18,03 Uppsala county,upper secondary education,men,305.175,313.075,320.7,324.9,327.375
19,03 Uppsala county,upper secondary education,women,225.78750000000002,231.9625,238.0,242.4875,246.1125
20,04 Södermanland county,no information about level of educational attainment,men,134.6375,135.2375,143.6,143.675,135.8375
21,04 Södermanland county,no information about level of educational attainment,women,71.8,69.55,69.5125,71.325,70.225
22,04 Södermanland county,post secondary education,men,407.2285714285714,413.12857142857143,423.25714285714287,430.37142857142857,437.24285714285713
23,04 Södermanland county,post secondary education,women,311.61428571428576,321.7714285714286,330.4857142857143,338.7142857142857,348.4857142857143
24,04 Södermanland county,primary and lower secondary education,men,217.5125,222.525,230.3125,232.5875,233.8125
25,04 Södermanland county,primary and lower secondary education,women,150.15,152.575,154.5375,154.9375,156.1875
28,04 Södermanland county,upper secondary education,men,290.575,299.0,306.5125,311.425,312.0625
29,04 Södermanland county,upper secondary education,women,221.27499999999998,226.65,232.35,237.5,240.3375
30,05 Östergötland county,no information about level of educational attainment,men,150.8625,131.25,144.975,143.1375,149.8
31,05 Östergötland county,no information about level of educational attainment,women,66.0375,62.55,64.5,69.6875,73.775
32,05 Östergötland county,post secondary education,men,373.3,379.91249999999997,387.4375,396.5125,404.0125
33,05 Östergötland county,post secondary education,women,279.0625,283.3,294.525,300.1,306.1125
34,05 Östergötland county,primary and lower secondary education,men,213.525,219.11249999999998,225.475,230.78750000000002,233.075
35,05 Östergötland county,primary and lower secondary education,women,147.4625,150.025,152.6375,155.7,156.2125
38,05 Östergötland county,upper secondary education,men,289.85,298.3375,305.875,312.525,314.375
39,05 Östergötland county,upper secondary education,women,216.625,221.95,228.025,233.925,237.5375
40,06 Jönköping county,no information about level of educational attainment,men,147.6,151.3125,151.275,160.9,159.9875
41,06 Jönköping county,no information about level of educational attainment,women,79.025,76.6375,78.4375,81.5375,85.4875
42,06 Jönköping county,post secondary education,men,405.92857142857144,415.4142857142857,426.8,431.92857142857144,437.62857142857143
43,06 Jönköping county,post secondary education,women,274.2375,279.9625,288.25,295.5375,299.95
44,06 Jönköping county,primary and lower secondary education,men,239.45,246.6625,254.0,257.7375,258.1375
45,06 Jönköping county,primary and lower secondary education,women,161.325,165.7375,169.7375,171.75,171.1625
48,06 Jönköping county,upper secondary education,men,305.3875,313.75,320.975,325.675,327.6375
49,06 Jönköping county,upper secondary education,women,224.875,232.6875,238.875,244.1875,245.975
50,07 Kronoberg county,no information about level of educational attainment,men,162.8625,160.1875,161.6,173.6,172.4375
51,07 Kronoberg county,no information about level of educational attainment,women,98.375,97.35,102.33749999999999,107.9375,104.5625
52,07 Kronoberg county,post secondary education,men,394.09999999999997,403.88571428571424,412.37142857142857,421.9428571428571,426.9142857142857
53,07 Kronoberg county,post secondary education,women,302.2714285714286,313.1857142857143,321.4857142857143,328.59999999999997,333.5
54,07 Kronoberg county,primary and lower secondary education,men,231.525,236.625,243.375,247.1375,248.15
55,07 Kronoberg county,primary and lower secondary education,women,153.46249999999998,155.5375,157.9125,159.0,159.525
58,07 Kronoberg county,upper secondary education,men,296.6125,304.95,311.225,316.8125,317.0125
59,07 Kronoberg county,upper secondary education,women,222.02499999999998,227.7875,233.0625,238.7,239.5125
